"Title","UK visits abroad: All visits Thousands - SA"
"CDID","GMAX"
"Source dataset ID","OTT"
"PreUnit",""
"Unit",""
"Release date","23-03-2018"
"1986 JAN","1878"
"1986 FEB","1743"
"1986 MAR","2014"
"1986 APR","1944"
"1986 MAY","2207"
"1986 JUN","2065"
"1986 JUL","2135"
"1986 AUG","2179"
"1986 SEP","2195"
"1986 OCT","2184"
"1986 NOV","2210"
"1986 DEC","2193"
"1987 JAN","2137"
"1987 FEB","2225"
"1987 MAR","2202"
"1987 APR","2330"
"1987 MAY","2370"
"1987 JUN","2307"
"1987 JUL","2282"
"1987 AUG","2361"
"1987 SEP","2299"
"1987 OCT","2265"
"1987 NOV","2363"
"1987 DEC","2306"
"1988 JAN","2145"
"1988 FEB","2261"
"1988 MAR","2264"
"1988 APR","2371"
"1988 MAY","2297"
"1988 JUN","2438"
"1988 JUL","2490"
"1988 AUG","2370"
"1988 SEP","2518"
"1988 OCT","2655"
"1988 NOV","2515"
"1988 DEC","2506"
"1989 JAN","2630"
"1989 FEB","2721"
"1989 MAR","2594"
"1989 APR","2468"
"1989 MAY","2592"
"1989 JUN","2570"
"1989 JUL","2516"
"1989 AUG","2654"
"1989 SEP","2616"
"1989 OCT","2550"
"1989 NOV","2378"
"1989 DEC","2744"
"1990 JAN","2699"
"1990 FEB","2597"
"1990 MAR","2324"
"1990 APR","2590"
"1990 MAY","2552"
"1990 JUN","2709"
"1990 JUL","2701"
"1990 AUG","2689"
"1990 SEP","2719"
"1990 OCT","2718"
"1990 NOV","2634"
"1990 DEC","2218"
"1991 JAN","2549"
"1991 FEB","2389"
"1991 MAR","2450"
"1991 APR","2746"
"1991 MAY","2384"
"1991 JUN","2435"
"1991 JUL","2635"
"1991 AUG","2688"
"1991 SEP","2696"
"1991 OCT","2662"
"1991 NOV","2682"
"1991 DEC","2493"
"1992 JAN","2821"
"1992 FEB","2816"
"1992 MAR","2886"
"1992 APR","2977"
"1992 MAY","3026"
"1992 JUN","2599"
"1992 JUL","2896"
"1992 AUG","2835"
"1992 SEP","2861"
"1992 OCT","2683"
"1992 NOV","2875"
"1992 DEC","2556"
"1993 JAN","3029"
"1993 FEB","3171"
"1993 MAR","3082"
"1993 APR","2817"
"1993 MAY","2953"
"1993 JUN","3083"
"1993 JUL","3123"
"1993 AUG","3087"
"1993 SEP","3095"
"1993 OCT","3214"
"1993 NOV","3084"
"1993 DEC","2982"
